"Source:","/home/jhugon/kicad/lna_sma_10x/lna_sma_10x.kicad_sch"
"Date:","Thu 10 Mar 2022 09:35:01 AM CST"
"Tool:","Eeschema 6.0.2-378541a8eb~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","20"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mfr","Mfr Part","Tol/Type"
"","","C1","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.com/datasheet/2/585/MLCC-1837944.pdf","Samsung","CL31A106KAHNNNF","5%/X5R"
"","","C2","160p","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.com/datasheet/2/40/C0GNP0_Dielectric-951274.pdf","Kyocera AVX","12065A161JAT2A","5%/C0G"
"","","C3","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.com/datasheet/2/585/MLCC-1837944.pdf","Samsung","CL31B104KBCNNND","5%/X5R"
"","","C4","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.com/datasheet/2/585/MLCC-1837944.pdf","Samsung","CL31B104KBCNNND","5%/X5R"
"","","C5","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.com/datasheet/2/585/MLCC-1837944.pdf","Samsung","CL31A106KAHNNNF","5%/X5R"
"","","C6","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.com/datasheet/2/585/MLCC-1837944.pdf","Samsung","CL31B104KBCNNND","5%/X5R"
"","","C7","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.com/datasheet/2/585/MLCC-1837944.pdf","Samsung","CL31B104KBCNNND","5%/X5R"
"","","J1","Conn_Coaxial","Connector:Conn_Coaxial","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount","https://www.mouser.com/datasheet/2/18/1/amphs06501_1-2259276.pdf","Amphenol","132289",""
"","","J2","Power In","New_Library:Power-NanoFit-01x03","Connector_Molex:Molex_Nano-Fit_105313-xx03_1x03_P2.50mm_Horizontal","https://www.mouser.com/datasheet/2/276/1/1053131303_PCB_HEADERS-1373923.pdf","Molex","105313-1303",""
